"","PLAYER_ID","PLAYER_NAME","PLAYER_LAST_TEAM_ID","PLAYER_LAST_TEAM_ABBREVIATION","AGE","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"340","1630204","Ashton Hagans","1610612757","POR","24","16","7","0.19","2","12","0.167","0.208","0.095","1","6","0.167","0.095","1","6","0.167"
"341","1630177","Theo Maledon","1610612756","PHX","22","17","6","0.171","1","12","0.083","0.083","0.057","1","4","0.25","0.114","0","8","0"
"342","1629670","Jordan Nwora","1610612761","TOR","25","44","10","0.044","6","11","0.545","0.636","0.028","4","7","0.571","0.016","2","4","0.5"
"343","1641767","Ben Sheppard","1610612754","IND","22","50","10","0.06","5","11","0.455","0.636","0.011","1","2","0.5","0.049","4","9","0.444"
"344","1628995","Kevin Knox II","1610612765","DET","24","31","8","0.059","5","11","0.455","0.591","0.032","2","6","0.333","0.027","3","5","0.6"
"345","203200","Justin Holiday","1610612743","DEN","34","50","10","0.067","4","11","0.364","0.455","0.024","2","4","0.5","0.042","2","7","0.286"
"346","1631207","Dalen Terry","1610612741","CHI","21","51","10","0.094","4","11","0.364","0.455","0.043","2","5","0.4","0.051","2","6","0.333"
"347","203926","Doug McDermott","1610612754","IND","32","58","9","0.042","4","11","0.364","0.545","0.004","0","1","0","0.039","4","10","0.4"
"348","1629626","Bol Bol","1610612756","PHX","24","34","9","0.088","4","11","0.364","0.409","0.04","3","5","0.6","0.048","1","6","0.167"
"349","202083","Wesley Matthews","1610612737","ATL","37","33","10","0.118","3","11","0.273","0.364","0.043","1","4","0.25","0.075","2","7","0.286"
"350","201565","Derrick Rose","1610612763","MEM","35","24","8","0.067","3","11","0.273","0.273","0.061","3","10","0.3","0.006","0","1","0"
"351","1630346","Matt Ryan","1610612740","NOP","26","24","10","0.098","3","11","0.273","0.409","0.036","0","4","0","0.063","3","7","0.429"
"352","1627863","Danuel House Jr.","1610612755","PHI","30","34","10","0.105","1","11","0.091","0.091","0.029","1","3","0.333","0.076","0","8","0"
"353","1631107","Nikola Jovic","1610612748","MIA","20","37","10","0.053","1","11","0.091","0.091","0.024","1","5","0.2","0.029","0","6","0"
"354","1641738","Kobe Brown","1610612746","LAC","24","37","8","0.161","5","10","0.5","0.55","0.081","4","5","0.8","0.081","1","5","0.2"
"355","1631115","Orlando Robinson","1610612748","MIA","23","33","8","0.139","5","10","0.5","0.55","0.111","4","8","0.5","0.028","1","2","0.5"
"356","1630264","Anthony Gill","1610612764","WAS","31","44","10","0.096","4","10","0.4","0.45","0.077","3","8","0.375","0.019","1","2","0.5"
