"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"235","Jalen Green","723","146","498","0.465"
"236","Jalen Hood-Schifino","29","10","12","0.273"
"237","Jalen Johnson","352","58","219","0.451"
"238","Jalen McDaniels","117","6","46","0.345"
"239","Jalen Pickett","23","0","4","0.4"
"240","Jalen Slawson","3","0","0","0"
"241","Jalen Smith","53","14","46","0.667"
"242","Jalen Suggs","303","35","144","0.505"
"243","Jalen Williams","861","94","528","0.536"
"244","Jalen Wilson","77","2","28","0.371"
"245","Jamal Cain","17","2","9","0.444"
"246","Jamal Murray","631","52","308","0.456"
"247","Jamaree Bouyea","19","0","2","0.143"
"248","James Bouknight","11","2","3","0.25"
"249","James Harden","727","111","325","0.464"
"250","James Johnson","6","2","4","0.5"
"251","James Wiseman","18","4","18","0.5"
"252","Jarace Walker","35","0","15","0.467"
"253","Jared Butler","186","12","85","0.563"
"254","Jared Rhoden","7","0","2","0.333"
"255","Jaren Jackson Jr.","726","169","662","0.498"
"256","Jarred Vanderbilt","19","2","11","0.4"
"257","Jarrett Allen","117","24","98","0.565"
"258","Jason Preston","7","0","0","0"
"259","Javon Freeman-Liberty","47","10","31","0.5"
"260","Javonte Green","2","0","2","0.5"
"261","Javonte Smart","0","0","0","0"
"262","Jaxson Hayes","12","2","9","0.571"
"263","Jay Huff","3","0","4","1"
"264","Jaylen Brown","669","80","448","0.555"
"265","Jaylen Nowell","33","0","22","0.524"
"266","Jaylin Williams","31","8","14","0.5"
"267","Jayson Tatum","634","158","554","0.574"
"268","Jeff Dowtin Jr.","16","0","0","0"
"269","Jeff Green","102","48","111","0.533"
"270","Jerami Grant","556","104","363","0.433"
"271","Jeremiah Robinson-Earl","20","4","12","0.667"
"272","Jeremy Sochan","548","36","203","0.39"
"273","Jericho Sims","5","0","7","1"
"274","Jermaine Samuels Jr.","3","0","6","1"
"275","Jerome Robinson","13","2","5","0.286"
"276","Jett Howard","1","0","2","1"
"277","Jevon Carter","165","4","53","0.391"
"278","Jimmy Butler","784","163","388","0.435"
"279","Jock Landale","9","0","8","1"
"280","Joe Harris","13","0","2","0.2"
"281","Joe Ingles","184","10","48","0.38"
"282","Joel Embiid","309","110","299","0.584"
"283","John Collins","230","46","171","0.46"
"284","John Konchar","79","8","22","0.304"
"285","Johnny Davis","49","4","29","0.368"
"286","Johnny Juzang","13","0","6","0.6"
"287","Jonas Valanciunas","49","10","56","0.75"
"288","Jonathan Isaac","21","6","13","0.4"
"289","Jonathan Kuminga","429","80","309","0.55"
"290","Jontay Porter","14","4","4","0"
"291","Jordan Clarkson","788","84","412","0.47"
"292","Jordan Ford","5","0","4","0.667"
"293","Jordan Goodwin","211","10","91","0.387"
"294","Jordan Hawkins","115","18","62","0.381"
"295","Jordan McLaughlin","96","2","20","0.36"
"296","Jordan Miller","4","0","4","0.5"
"297","Jordan Nwora","123","22","80","0.508"
"298","Jordan Poole","712","88","415","0.463"
"299","Jordan Walsh","3","0","0","0"
"300","Jose Alvarado","170","28","78","0.372"
"301","Josh Giddey","517","42","294","0.502"
"302","Josh Green","197","14","82","0.487"
"303","Josh Hart","400","20","167","0.43"
"304","Josh Minott","15","2","12","0.571"
"305","Josh Okogie","102","22","52","0.421"
"306","Josh Richardson","176","12","93","0.488"
"307","Joshua Primo","1","0","0","0"
"308","Jrue Holiday","411","38","188","0.452"
"309","Juan Toscano-Anderson","4","0","0","0"
"310","Jules Bernard","29","2","15","0.438"
"311","Julian Champagnie","90","14","40","0.371"
"312","Julian Phillips","38","4","27","0.579"
"313","Julian Strawther","84","8","62","0.54"
"314","Julius Randle","641","116","378","0.502"
"315","Justin Champagnie","17","2","8","0.6"
"316","Justin Holiday","32","0","2","0.125"
"317","Justin Jackson","0","0","0","0"
"318","Justin Minaya","13","6","5","0.333"
"319","Jusuf Nurkic","43","10","39","0.708"
"320","KJ Martin","46","4","28","0.429"
"321","Kaiser Gates","0","0","0","0"
"322","Karl-Anthony Towns","582","110","455","0.518"
"323","Kawhi Leonard","756","86","506","0.578"
"324","Keegan Murray","296","32","220","0.542"
"325","Keita Bates-Diop","73","14","49","0.486"
"326","Keldon Johnson","540","108","371","0.5"
"327","Kelly Olynyk","256","46","179","0.586"
"328","Kelly Oubre Jr.","388","72","275","0.428"
"329","Kendall Brown","8","4","8","0.5"
"330","Kenneth Lofton Jr.","14","6","15","0.714"
"331","Kenrich Williams","66","2","13","0.286"
"332","Kentavious Caldwell-Pope","138","26","79","0.377"
"333","Keon Ellis","79","6","25","0.6"
"334","Keon Johnson","18","8","8","0"
"335","Kessler Edwards","9","2","3","0.333"
"336","Kevin Durant","678","108","499","0.535"
"337","Kevin Huerter","198","20","100","0.456"
"338","Kevin Knox II","46","4","42","0.692"
"339","Kevin Love","57","12","42","0.64"
"340","Kevon Harris","1","0","0","0"
"341","Kevon Looney","48","8","37","0.56"
"342","Keyontae Johnson","10","0","0","0"
"343","Keyonte George","499","104","286","0.42"
"344","Khris Middleton","321","22","160","0.5"
"345","Killian Hayes","288","12","118","0.47"
"346","Kira Lewis Jr.","52","10","24","0.333"
"347","Klay Thompson","266","30","139","0.469"
"348","Kobe Brown","22","0","4","0.222"
"349","Kobe Bufkin","26","2","15","0.438"
"350","Kobi Simmons","14","0","8","0.667"
"351","Kris Dunn","331","18","165","0.528"
"352","Kris Murray","155","14","62","0.394"
"353","Kristaps Porzingis","88","30","80","0.481"
"354","Kyle Anderson","460","66","227","0.431"
"355","Kyle Kuzma","783","97","529","0.481"
"356","Kyle Lowry","284","28","85","0.457"
"357","Kyrie Irving","619","66","458","0.548"
"358","LaMelo Ball","375","51","229","0.523"
"359","Lamar Stevens","115","14","87","0.507"
"360","Landry Shamet","111","14","79","0.525"
"361","Larry Nance Jr.","7","0","2","0.25"
"362","Lauri Markkanen","247","59","186","0.457"
"363","LeBron James","679","134","538","0.594"
"364","Leaky Black","19","2","3","0.125"
"365","Leonard Miller","4","0","0","0"
"366","Lester Quinones","60","14","28","0.346"
"367","Lindell Wigginton","3","0","4","0.667"
"368","Lindy Waters III","9","0","5","1"
"369","Lonnie Walker IV","222","22","120","0.521"
"370","Luguentz Dort","309","38","118","0.433"
"371","Luka Doncic","1191","227","864","0.611"
"372","Luka Garza","8","4","10","0.8"
"373","Luka Samanic","43","8","21","0.381"
"374","Luke Kennard","165","6","40","0.405"
"375","Luke Kornet","3","0","0","0"
"376","Malachi Flynn","212","28","98","0.463"
"377","Malaki Branham","299","10","182","0.486"
