"","GROUP_SET","GROUP_ID","GROUP_NAME","TEAM_ID","TEAM_ABBREVIATION","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK"
"1847","Lineups","-1627747-1628378-1628386-1629731-1630241-","C. LeVert - D. Mitchell - J. Allen - D. Wade - S. Merrill","1610612739","CLE","4","3","1","0.75","12","121.6","111.5","107.8","104.2","13.9","7.4","0.5","1.33","11.8","0.333","1","0.636","0.115","0.475","0.584","93.1","98.93","82.44","26","0.581","1614","981","4581","4823","1888","6212","7553","5900","7668","4253","9394","4292","1","3146","8350","8679","6511","10550","5381"
"1848","Lineups","-1627747-1627777-1628386-1630171-1630241-","C. LeVert - G. Niang - J. Allen - I. Okoro - S. Merrill","1610612739","CLE","7","3","4","0.429","12","98.7","92.6","102.8","100","-4.1","-7.4","0.8","2.67","20.5","0.357","0.786","0.571","0.111","0.5","0.536","96.8","101.41","84.51","27","0.526","743","981","14390","7573","1848","9133","5668","8495","3714","1722","4609","4176","5738","4373","8013","6808","7711","9417","6380"
"1849","Lineups","-1627747-1627777-1630241-1630596-1641854-","C. LeVert - G. Niang - S. Merrill - E. Mobley - C. Porter Jr.","1610612739","CLE","4","2","2","0.5","12","106.1","100","95.5","92","10.6","8","0.818","0","23.7","0.188","0.786","0.467","0","0.481","0.492","96.2","101.05","84.21","27","0.596","1614","1606","11854","6028","1841","7045","5289","5851","3666","7422","3353","7728","5738","8444","1","8626","9543","9578","5177"
"1850","Lineups","-1627747-1628386-1629622-1629731-1630241-","C. LeVert - J. Allen - M. Strus - D. Wade - S. Merrill","1610612739","CLE","3","1","2","0.333","12","124.1","130.8","101.1","89.3","23","41.5","0.727","0","21.6","0.231","0.9","0.522","0","0.563","0.599","105.2","108.97","90.81","26","0.705","2278","3115","11854","7783","1936","3959","5087","3307","4737","7422","4165","6967","4405","5624","1","5867","6203","6036","3692"
"1851","Lineups","-203468-1626204-1627742-1629627-1630530-","C. McCollum - L. Nance Jr. - B. Ingram - Z. Williamson - T. Murphy III","1610612740","NOP","9","3","6","0.333","12","81.6","74.2","143.9","129.6","-62.4","-55.4","0.556","2.5","13.2","0.176","0.6","0.333","0.065","0.404","0.408","103.4","114.21","95.17","31","0.252","464","981","14898","7783","1875","10740","10535","11794","7436","1815","8873","7810","9152","10870","6631","9728","10763","4456","10730"
"1852","Lineups","-203468-1626204-1630230-1630700-1641722-","C. McCollum - L. Nance Jr. - N. Marshall - D. Daniels - J. Hawkins","1610612740","NOP","3","1","2","0.333","12","122.1","131.8","101.1","100","21","31.8","0.545","1.5","17.1","0.583","0.429","0.5","0.182","0.614","0.61","93","89.87","74.89","22","0.645","2278","3115","11854","7783","1961","3904","5668","3981","7525","3808","6681","1536","11276","5848","10906","4819","5880","13504","4426"
"1853","Lineups","-1626224-1628380-1629640-1631103-1631110-","C. Osman - Z. Collins - K. Johnson - M. Branham - J. Sochan","1610612759","SAS","6","1","5","0.167","12","108.5","103.8","113.6","103.8","-5.1","0","0.455","2.5","15.2","0.154","0.786","0.481","0.077","0.521","0.543","99.6","106.51","88.76","26","0.481","926","3115","14713","8614","1970","6938","7530","6390","9454","1815","7951","8129","5738","8187","6884","6691","7592","6988","7388"
"1854","Lineups","-101108-203967-1627780-1631218-1641764-","C. Paul - D. Saric - G. Payton II - T. Jackson-Davis - B. Podziemski","1610612744","GSW","2","1","1","0.5","12","136.2","129.2","78.5","79.2","57.7","50","0.538","3.5","17.1","0.588","0.917","0.724","0.083","0.5","0.504","94.4","96.54","80.45","24","0.759","3544","3115","4581","6028","1928","4068","4115","2989","7576","883","6702","1534","4354","1856","7041","6808","8591","11466","3158"
"1855","Lineups","-101108-202691-1627780-1631218-1641764-","C. Paul - K. Thompson - G. Payton II - T. Jackson-Davis - B. Podziemski","1610612744","GSW","5","2","3","0.4","12","140.7","130.4","139.1","159.1","1.6","-28.7","0.833","5","26.3","0.5","0.467","0.48","0.087","0.667","0.672","95.6","92.57","77.14","23","0.521","1192","1606","13689","7618","1982","3986","12841","10149","3517","288","2139","1682","11220","8220","7219","3604","4346","12777","6492"
"1856","Lineups","-101108-201939-203967-1627780-1630228-","C. Paul - S. Curry - D. Saric - G. Payton II - J. Kuminga","1610612744","GSW","8","5","3","0.625","12","121","111.5","116","103.8","5.1","7.7","0.875","1.17","19.4","0.333","0.857","0.563","0.231","0.588","0.692","97.3","107.16","89.3","26","0.451","574","483","13689","5693","1987","6212","7530","5872","3362","4542","5674","4292","4662","4721","12222","5321","4031","6713","7907"
