"","PLAYER_NAME","CONTESTED_SHOTS","BLK","pct_blocked"
"301","Jordan Goodwin",113,18,0.15929203539823
"302","Richaun Holmes",112,19,0.169642857142857
"303","Chris Paul",110,5,0.0454545454545455
"304","Ben Sheppard",109,2,0.018348623853211
"305","Bryce McGowens",109,8,0.073394495412844
"306","Gradey Dick",109,2,0.018348623853211
"307","Danilo Gallinari",108,6,0.0555555555555556
"308","Lonnie Walker IV",108,17,0.157407407407407
"309","Omer Yurtseven",108,18,0.166666666666667
"310","Craig Porter Jr.",106,14,0.132075471698113
"311","Dalen Terry",106,13,0.122641509433962
"312","Malachi Flynn",106,8,0.0754716981132075
"313","Malcolm Brogdon",106,8,0.0754716981132075
"314","Nathan Mensah",105,14,0.133333333333333
"315","Gary Trent Jr.",103,10,0.0970873786407767
"316","Bol Bol",102,25,0.245098039215686
"317","Caleb Houstan",102,3,0.0294117647058824
"318","Jevon Carter",101,14,0.138613861386139
"319","Lamar Stevens",101,18,0.178217821782178
"320","Neemias Queta",101,15,0.148514851485149
"321","De'Anthony Melton",100,16,0.16
"322","Jake LaRavia",100,10,0.1
"323","KJ Martin",100,12,0.12
"324","Kevin Knox II",97,7,0.0721649484536082
"325","Patrick Baldwin Jr.",97,13,0.134020618556701
"326","Tre Mann",97,3,0.0309278350515464
"327","Isaiah Livers",96,5,0.0520833333333333
"328","Justin Holiday",96,9,0.09375
"329","Gary Payton II",95,17,0.178947368421053
"330","Markelle Fultz",95,13,0.136842105263158
"331","Jaden Hardy",94,4,0.0425531914893617
"332","Jalen McDaniels",94,6,0.0638297872340425
"333","JaVale McGee",93,20,0.21505376344086
"334","Sandro Mamukelashvili",93,10,0.10752688172043
"335","Davis Bertans",91,10,0.10989010989011
"336","Blake Wesley",90,9,0.1
"337","Orlando Robinson",90,8,0.0888888888888889
"338","Anthony Gill",89,8,0.0898876404494382
"339","Cody Zeller",89,5,0.0561797752808989
"340","Nassir Little",89,10,0.112359550561798
"341","T.J. McConnell",89,8,0.0898876404494382
"342","Yuta Watanabe",89,7,0.0786516853932584
"343","Jalen Wilson",88,2,0.0227272727272727
"344","DeAndre Jordan",87,16,0.183908045977011
"345","Thaddeus Young",87,5,0.0574712643678161
"346","Cody Martin",85,18,0.211764705882353
"347","Nick Smith Jr.",85,7,0.0823529411764706
"348","Chuma Okeke",83,7,0.0843373493975904
"349","Jeremiah Robinson-Earl",82,4,0.048780487804878
"350","Jordan Nwora",82,10,0.121951219512195
"351","Jared Butler",81,7,0.0864197530864197
"352","Julian Strawther",80,7,0.0875
"353","Luke Kennard",79,2,0.0253164556962025
"354","P.J. Tucker",79,7,0.0886075949367089
"355","Robert Covington",79,18,0.227848101265823
"356","Cam Whitmore",78,14,0.17948717948718
"357","Delon Wright",78,10,0.128205128205128
"358","Gary Harris",78,13,0.166666666666667
"359","Noah Clowney",78,8,0.102564102564103
"360","Tosan Evbuomwan",78,5,0.0641025641025641
"361","Marcus Morris Sr.",77,13,0.168831168831169
"362","Damian Jones",76,13,0.171052631578947
"363","Marcus Smart",76,5,0.0657894736842105
"364","Danuel House Jr.",75,5,0.0666666666666667
"365","Ish Smith",75,4,0.0533333333333333
"366","Shake Milton",75,6,0.08
"367","Stanley Umude",75,7,0.0933333333333333
"368","MarJon Beauchamp",74,6,0.0810810810810811
"369","Eugene Omoruyi",73,4,0.0547945205479452
"370","Vit Krejci",72,6,0.0833333333333333
"371","Andre Jackson Jr.",71,6,0.0845070422535211
"372","Ousmane Dieng",71,3,0.0422535211267606
"373","AJ Green",70,4,0.0571428571428571
"374","Oshae Brissett",70,5,0.0714285714285714
"375","Matt Ryan",68,1,0.0147058823529412
"376","Jarred Vanderbilt",65,5,0.0769230769230769
"377","Jose Alvarado",65,15,0.230769230769231
"378","Skylar Mays",65,4,0.0615384615384615
"379","Jordan McLaughlin",63,7,0.111111111111111
"380","Aleksej Pokusevski",62,10,0.161290322580645
"381","LaMelo Ball",62,4,0.0645161290322581
"382","Lindy Waters III",62,6,0.0967741935483871
"383","Jaden Springer",61,14,0.229508196721311
"384","Moses Brown",60,7,0.116666666666667
"385","Kessler Edwards",58,4,0.0689655172413793
"386","Seth Curry",58,6,0.103448275862069
"387","Rayan Rupert",57,3,0.0526315789473684
"388","Ibou Badji",56,20,0.357142857142857
"389","Joe Ingles",56,4,0.0714285714285714
"390","Johnny Davis",53,10,0.188679245283019
"391","Charles Bassey",52,17,0.326923076923077
"392","Wesley Matthews",51,11,0.215686274509804
"393","Ben Simmons",50,9,0.18
"394","Jacob Gilyard",50,5,0.1
"395","Brice Sensabaugh",49,4,0.0816326530612245
"396","Cory Joseph",49,3,0.0612244897959184
"397","Reggie Bullock Jr.",49,4,0.0816326530612245
"398","Vasilije Micic",48,6,0.125
"399","Justin Minaya",47,10,0.212765957446809
"400","Luka Samanic",47,7,0.148936170212766
"401","Olivier-Maxence Prosper",46,3,0.0652173913043478
"402","Julian Phillips",45,7,0.155555555555556
"403","Mouhamadou Gueye",44,15,0.340909090909091
"404","Tristan Vukcevic",44,6,0.136363636363636
"405","Collin Gillespie",42,0,0
"406","Javon Freeman-Liberty",42,2,0.0476190476190476
"407","Taj Gibson",41,6,0.146341463414634
"408","Bones Hyland",40,3,0.075
"409","Onuralp Bitim",40,2,0.05
"410","Derrick Rose",39,2,0.0512820512820513
"411","Jamal Cain",39,5,0.128205128205128
"412","Johnny Juzang",39,1,0.0256410256410256
"413","Kenneth Lofton Jr.",39,3,0.0769230769230769
"414","Terry Taylor",39,2,0.0512820512820513
"415","Trent Forrest",39,3,0.0769230769230769
"416","Garrett Temple",38,3,0.0789473684210526
"417","Kobe Brown",37,3,0.0810810810810811
"418","Lester Quinones",37,2,0.0540540540540541
"419","Jarace Walker",36,11,0.305555555555556
"420","Micah Potter",36,4,0.111111111111111
"421","Monte Morris",36,7,0.194444444444444
"422","Justin Champagnie",35,7,0.2
"423","A.J. Lawson",34,3,0.0882352941176471
"424","Evan Fournier",34,4,0.117647058823529
"425","Leaky Black",34,8,0.235294117647059
"426","Scotty Pippen Jr.",34,9,0.264705882352941
"427","Gui Santos",33,2,0.0606060606060606
"428","Ja Morant",32,5,0.15625
"429","Kobe Bufkin",32,4,0.125
"430","Markieff Morris",32,1,0.03125
"431","Luka Garza",31,1,0.032258064516129
