"","shooting_percentage","attempts","name"
"198",0.25,4,"Shaedon Sharpe"
"199",0.5,4,"Jared Butler"
"200",0.75,4,"Ja Morant"
"201",0,4,"Aaron Holiday"
"202",0.25,4,"Miles McBride"
"203",0.333333333333333,3,"Rui Hachimura"
"204",0,3,"Payton Pritchard"
"205",0.333333333333333,3,"Dante Exum"
"206",0.666666666666667,3,"Nikola Vucevic"
"207",0.666666666666667,3,"Marcus Sasser"
"208",0.333333333333333,3,"Cody Martin"
"209",0,3,"Blake Wesley"
"210",0.666666666666667,3,"Danilo Gallinari"
"211",1,2,"Bilal Coulibaly"
"212",0.5,2,"Christian Wood"
"213",0.5,2,"Ben Simmons"
"214",0.5,2,"Skylar Mays"
"215",1,1,"Marcus Morris Sr."
"216",1,1,"Saddiq Bey"
"217",0,1,"Max Christie"
"218",NA,0,"Jaden Springer"
"219",NA,0,"Davion Mitchell"
